nombre,precio,ubicacion,enlace,habitaciones,baños,metros_cuadrados
Zona 14 cerca Europlaza,$ 875 con  iva y mantenimiento,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/zona-14-cerca-europlaza-daa43533/,Dormitorios: 1,Baños: 1,Tamaño de la propiedad: 72 m2
Apartamento en Garces De La Villa  La villa ...,$ 805 DOLARES,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-garces-de-la-villa-la-villa-zona-14-de-3-habitaciones-agt1888-daa27200/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 89 m2
EN VENTA O RENTA  APARTAMENTO DE 3 HABITACIO...,"$ 1,150 mantenimiento incluido","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/en-venta-o-renta-apartamento-de-3-habitaciones-en-la-villa-zona-14-daa43530/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 88 m2
Apartamento en Renta en Santa Inés del Parqu...,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-en-santa-ines-del-parque-zona-14-daa43526/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 159 m2
Renta de Apartamento amueblado en zona 14,"$ 1,100","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/renta-de-apartamento-amueblado-en-zona-14-daa43516/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 90 m2
"Apartamento en alquiler, Edificio Antiguo, z...","$ 1,000","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-antiguo-zona-14-caa13474/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 175 m2
Apartamento amueblado en renta Edificio zona...,$ 950,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-edificio-zona-14-daa43494/,Dormitorios: 1,Baños: 1.5,No especificado
Apartamento elegante Edif Villa Risho zona 1...,"$ 2,200 Mas iva","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-elegante-edif-villa-risho-zona-14-daa43492/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 200 m2
Apartamento amueblado en Zona 14,$ 875,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-zona-14-daa43484/,Dormitorios: 1,Baños: 1,Tamaño de la propiedad: 72 m2
"zona 14, apartamento amueblado",$ 900,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/zona-14-apartamento-amueblado-daa43478/,Dormitorios: 2,Baños: 1,Tamaño de la propiedad: 70 m2
VENTA /RENTA AMPLIO APARTAMENTO AMUEBLADO,"$ 2,200 + IVA","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/amplio-apartamento-amueblado-daa43476/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 249 m2
APARTAMENTO AMUEBLADO 5TA AVE ZONA 14 DE 1 H...,"$ 1,000","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-5ta-ave-zona-14-de-1-hab-agt2493-daa43473/,Dormitorios: 1,Baños: 2,Tamaño de la propiedad: 100 m2
Apartamento amueblado en renta zona 14 / Cob...,$ 875,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-cobella-daa43451/,Dormitorios: 1,Baños: 1,Tamaño de la propiedad: 72 m2
"Hermoso apartamento en alquiler, Aoki, Zona ...",$ 775,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-aoki-zona-14-caa13440/,Dormitorios: 1,Baños: 1.5,No especificado
"Apartamento en Alquiler Edificio Cobella, zo...",$ 875,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-cobella-zona-14-n4-en-directo-02-DAA31487/,Dormitorios: 1,Baños: 1,Tamaño de la propiedad: 72 m2
Apartamento Amoblado en Renta en zona 14,"$ 1,250","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amoblado-en-renta-en-zona-14-daa43442/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 106 m2
"Apartamento en renta, 3 habitaciones en Segh...","$ 1,400 Mantenimiento incluido","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-3-habitaciones-en-segheria-zona-14-la-villa-daa43430/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 136 m2
